#{"t_start": 1764978925.8101525, "env_id": "None"}
r,l,t
33.846188,28,1.165349
26.353082,36,1.208277
16.540137,32,1.24157
39.759466,24,1.267691
17.859935,17,1.287138
38.677411,23,1.313174
41.818551,27,1.341409
45.345296,41,1.386937
33.797811,21,1.411252
7.550565,17,1.430808
28.902908,18,1.452509
21.725754,31,1.485928
29.690839,37,1.532123
13.968521,8,1.545452
46.574701,46,1.617367
5.069069,12,1.636666
31.896795,27,1.693794
46.149085,40,1.749566
44.198003,28,1.782249
43.646091,32,1.815652
43.234731,26,1.844444
31.633796,39,1.886868
33.683876,21,1.91133
20.138969,11,1.926233
43.955942,40,1.972037
26.813154,16,1.991904
41.522312,40,2.040556
-4.698348,21,2.065237
42.860818,31,2.100046
30.189142,27,2.13062
23.933129,14,2.148882
18.024448,20,2.172334
31.895122,25,2.200827
8.685053,19,2.223052
25.578582,26,2.25233
26.444965,15,2.271878
23.801775,13,2.29055
15.051604,28,2.32262
15.606753,10,2.335341
4.888582,21,2.433136
12.019644,15,2.460445
5.449986,56,2.531831
14.381645,28,2.563955
33.707007,28,2.597969
35.215205,44,2.647629
19.029846,44,2.693016
12.593121,27,2.720982
33.335552,20,2.742533
14.900831,45,2.78902
39.040412,48,2.837918
17.569393,11,2.852413
8.158236,16,2.870604
39.853814,40,2.913306
26.345968,27,2.941839
44.872312,40,2.983384
3.318704,13,2.998115
14.049821,15,3.023658
32.844247,26,3.073169
10.89768,16,3.099151
4.500603,24,3.125974
-1.694513,83,3.208809
47.326207,34,3.245395
44.342339,29,3.277463
-7.032216,14,3.292932
30.013225,18,3.313266
33.409881,24,3.340503
48.775915,31,3.37233
22.566493,48,3.422013
25.128606,66,3.487816
34.584214,25,3.514197
44.937521,59,3.640054
27.373381,18,3.663682
